number,Repository,question,response,query,label_1,label_2
6,AutoGPT,Determine the developers that fixed the most bugs in challenge.py?,I don't know the answer to that question. Can I help with anything else?,"cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""challenge.py""})
RETURN u.name AS developer, COUNT(i) AS bugs_fixed
ORDER BY bugs_fixed DESC
LIMIT 1
",Hallucination,
13,AutoGPT,Determine the developers that fixed the most bugs in challenge.py?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:fixed]->(i:Issue)-[:impacted]->(f:File {name: ""challenge.py""})
RETURN u.name AS developer, COUNT(i) AS bugs_fixed
ORDER BY bugs_fixed DESC
LIMIT 1
",hallucination,
1,AutoGPT,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Swifty, with a total of 1 unfixed bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
21,AutoGPT,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Swifty, who has 1 unfixed bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
4,AutoGPT,Determine the developers that had the most unfixed bugs?,"The developer that had the most unfixed bugs is Swifty, with a total of 1 unfixed bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
16,AutoGPT,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is Swifty, with a total of 1 unfixed bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
11,AutoGPT,Determine the developers that had the most unfixed bugs?,"The developer that had the most unfixed bugs is Swifty, with a total of 1 unfixed bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
3,AutoGPT,Determine the percentage of the fixing commits that introduced bugs on July 2023?,The percentage of the fixing commits that introduced bugs in July 2023 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2023-07.*' AND c2.committedDate =~ '2023-07.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
19,AutoGPT,Determine the percentage of the fixing commits that introduced bugs on July 2023?,The percentage of the fixing commits that introduced bugs in July 2023 is 100.0%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2023-07.*' AND c2.committedDate =~ '2023-07.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
9,AutoGPT,Determine the percentage of the fixing commits that introduced bugs on July 2023?,The percentage of fixing commits that introduced bugs in July 2023 is 100.0%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2023-07.*' AND c2.committedDate =~ '2023-07.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
